year,country,out_c24a,out_c24b,out_c24,share_steel,share_nonferrous
2014,AGO,307.1163,68.838,375.9543,0.8168979580762875,0.18310204192371252
2014,ARE,2762.9653,11456.3386,14219.303899999999,0.19431086918396898,0.805689130816031
2014,ARG,12121.7179,2648.8603,14770.5782,0.8206664448653743,0.17933355513462565
2014,AUS,11332.8615,28695.3082,40028.1697,0.283122150848681,0.716877849151319
2014,AUT,12507.3354,7620.192,20127.5274,0.6214044652101679,0.37859553478983216
2014,BEL,12753.8514,11146.2151,23900.0665,0.5336324649975346,0.4663675350024653
2014,BGD,2679.6107,1635.4545,4315.0652,0.6209896202727134,0.37901037972728663
2014,BGR,2613.5744,2348.3303,4961.9047,0.5267280526367223,0.47327194736327766
2014,BLR,2219.2577,1396.2398,3615.4975000000004,0.6138180706804527,0.38618192931954726
2014,BRA,43377.5078,20523.5541,63901.0619,0.6788229570876662,0.32117704291233384
2014,BRN,11.7051,9.1065,20.8116,0.5624315285706049,0.4375684714293952
2014,CAN,18743.8835,41577.9923,60321.875799999994,0.3107311112496936,0.6892688887503065
2014,CHE,3344.6395,2507.6027,5852.242200000001,0.5715141967295885,0.4284858032704114
2014,CHL,476.4468,1113.9622,1590.4089999999999,0.29957501498042327,0.7004249850195767
2014,CHN,924424.2753,622801.0253,1547225.3006,0.5974723105558813,0.4025276894441187
2014,CIV,186.268,195.3997,381.66769999999997,0.4880371066244275,0.5119628933755725
2014,CMR,33.5777,147.224,180.80169999999998,0.18571562103674913,0.8142843789632509
2014,COD,387.9191,2402.1903,2790.1094000000003,0.13903365222883374,0.8609663477711662
2014,COL,4140.5353,755.3293,4895.8646,0.8457209580510049,0.15427904194899508
2014,CRI,268.9173,114.0736,382.9909,0.7021506255109455,0.2978493744890544
2014,CYP,16.0085,51.1749,67.1834,0.23828058716885422,0.7617194128311457
2014,CZE,7464.1149,1830.8728,9294.9877,0.8030257963654971,0.19697420363450294
2014,DEU,76004.6519,51985.1379,127989.7898,0.5938337114137522,0.40616628858624787
2014,DNK,1128.9102,491.5315,1620.4417,0.6966681985535178,0.30333180144648214
2014,EGY,7437.1213,8277.6526,15714.7739,0.4732566530912672,0.5267433469087328
2014,ESP,23633.633,15087.1392,38720.7722,0.6103605805671407,0.38963941943285935
2014,EST,30.6795,46.4766,77.1561,0.3976289625836454,0.6023710374163547
2014,FIN,8770.1176,3164.8199,11934.9375,0.734827274964783,0.265172725035217
2014,FRA,23936.9184,12323.9357,36260.8541,0.6601311247106008,0.33986887528939924
2014,GBR,15305.2854,10466.5537,25771.8391,0.5938763369044936,0.40612366309550646
2014,GRC,1559.752,3216.2996,4776.0516,0.32657771117883233,0.6734222888211677
2014,HKG,565.7886,299.5482,865.3368,0.6538362866342907,0.34616371336570917
2014,HRV,268.0883,202.5525,470.6408,0.5696240104980274,0.43037598950197264
2014,HUN,1630.9067,1656.8109,3287.7176,0.49606045847733393,0.5039395415226661
2014,IDN,6399.9851,7202.8257,13602.8108,0.47048990051379674,0.5295100994862033
2014,IND,126084.2564,35710.397,161794.6534,0.7792856794117029,0.22071432058829699
2014,IRL,414.1212,481.5307,895.6519000000001,0.4623684715010373,0.5376315284989626
2014,ISL,156.2241,1770.1638,1926.3879,0.08109690680677552,0.9189030931932245
2014,ISR,2087.6267,498.9066,2586.5333,0.8071137920397158,0.19288620796028413
2014,ITA,48728.5186,23824.6271,72553.14570000001,0.6716251670394492,0.3283748329605507
2014,JOR,372.2007,404.7142,776.9149,0.4790752500692161,0.520924749930784
2014,JPN,284412.5192,82008.981,366421.5002,0.7761894950071491,0.22381050499285085
2014,KAZ,5502.639,10618.7757,16121.414700000001,0.34132482182224366,0.6586751781777563
2014,KHM,3240.8668,64.4175,3305.2843,0.9805107536437939,0.01948924635620603
2014,KOR,94955.6366,35031.7723,129987.4089,0.7304987260193014,0.26950127398069856
2014,LAO,4.4266,7.4202,11.8468,0.3736536448661242,0.6263463551338758
2014,LTU,87.6814,8.057,95.7384,0.9158435904506447,0.08415640954935533
2014,LUX,1691.8885,1676.0208,3367.9093000000003,0.5023557196151333,0.49764428038486663
2014,LVA,47.0021,59.921,106.9231,0.4395878907364264,0.5604121092635735
2014,MAR,2213.2715,1127.2683,3340.5397999999996,0.66254905868806,0.3374509413119401
2014,MEX,23648.2996,25596.1789,49244.4785,0.48022235832998006,0.5197776416700199
2014,MLT,1.8168,1.4263,3.2431,0.5602047423761216,0.43979525762387833
2014,MMR,937.7401,670.7419,1608.482,0.5829969499192407,0.4170030500807594
2014,MYS,7890.7511,4654.0237,12544.7748,0.6290069950079934,0.3709930049920067
2014,NGA,595.8375,1104.4754,1700.3129,0.3504281476662325,0.6495718523337676
2014,NLD,6992.3913,2722.2132,9714.604500000001,0.7197813662923693,0.28021863370763056
2014,NOR,1414.6494,5965.846,7380.4954,0.19167404399439095,0.808325956005609
2014,NZL,617.5339,2446.5448,3064.0787,0.20153982990058317,0.7984601700994168
2014,PAK,2906.2786,2341.948,5248.2266,0.5537639323728896,0.44623606762711043
2014,PER,1783.4715,4446.0857,6229.557199999999,0.2862918571483701,0.71370814285163
2014,PHL,2275.7909,1698.8323,3974.6232,0.5725802888686404,0.42741971113135957
2014,POL,10505.6027,3635.296,14140.8987,0.742923269791898,0.25707673020810196
