year,country,share_steel_in_c24,share_nonferrous_in_c24,share_al_in_nonferrous,share_al_in_c24,share_other_nf_in_c24,check_sum
2014,AGO,0.816897958076288,0.183102041923713,0.482032694835718,0.0882611706984097,0.0948408712253028,1
2014,ARE,0.194310869183969,0.805689130816031,0.482032694835718,0.388368502927098,0.417320627888933,1
2014,ARG,0.820666444865374,0.179333555134626,0.482032694835718,0.0864446368560133,0.0928889182786123,1
2014,AUS,0.283122150848681,0.716877849151319,0.482032694835718,0.345558561494443,0.371319287656876,1
2014,AUT,0.621404465210168,0.378595534789832,0.482032694835718,0.182495425887512,0.19610010890232,1
2014,BEL,0.533632464997535,0.466367535002465,0.482032694835718,0.224804399681129,0.241563135321336,1
2014,BGD,0.620989620272713,0.379010379727287,0.482032694835718,0.182695394710653,0.196314985016634,1
2014,BGR,0.526728052636722,0.473271947363278,0.482032694835718,0.228132552177669,0.245139395185609,1
2014,BLR,0.613818070680453,0.386181929319547,0.482032694835718,0.186152316086758,0.200029613232789,1
2014,BRA,0.678822957087666,0.321177042912334,0.482032694835718,0.154817835514399,0.166359207397935,1
2014,BRN,0.562431528570605,0.437568471429395,0.482032694835718,0.210922309458257,0.226646161971138,1
2014,CAN,0.310731111249694,0.689268888750306,0.482032694835718,0.332250139910731,0.357018748839576,1
2014,CHE,0.571514196729588,0.428485803270411,0.482032694835718,0.206544166449284,0.221941636821128,1
2014,CHL,0.299575014980423,0.700424985019577,0.482032694835718,0.337627743059254,0.362797241960323,1
2014,CHN,0.597472310555881,0.402527689444119,0.482032694835718,0.194031506888743,0.208496182555375,1
2014,CIV,0.488037106624428,0.511962893375573,0.482032694835718,0.246782853149718,0.265180040225854,1
2014,CMR,0.185715621036749,0.814284378963251,0.482032694835718,0.392511693554285,0.421772685408966,1
2014,COD,0.139033652228834,0.860966347771166,0.482032694835718,0.415013928779001,0.445952418992165,1
2014,COL,0.845720958051005,0.154279041948995,0.482032694835718,0.0743675423473468,0.0799114996016483,1
2014,CRI,0.702150625510946,0.297849374489054,0.482032694835718,0.143573136640092,0.154276237848963,1
2014,CYP,0.238280587168854,0.761719412831146,0.482032694835718,0.367173661275678,0.394545751555468,1
2014,CZE,0.803025796365497,0.196974203634503,0.482032694835718,0.0949480061910588,0.102026197443444,1
2014,DEU,0.593833711413752,0.406166288586248,0.482032694835718,0.195785430638651,0.210380857947597,1
2014,DNK,0.696668198553518,0.303331801446482,0.482032694835718,0.146215845680621,0.157115955765862,1
2014,EGY,0.473256653091267,0.526743346908733,0.482032694835718,0.253907514997202,0.272835831911531,1
2014,ESP,0.610360580567141,0.389639419432859,0.482032694835718,0.187818939363446,0.201820480069414,1
2014,EST,0.397628962583645,0.602371037416355,0.482032694835718,0.290362534456792,0.312008502959562,1
2014,FIN,0.734827274964783,0.265172725035217,0.482032694835718,0.127821923245656,0.137350801789561,1
2014,FRA,0.660131124710601,0.339868875289399,0.482032694835718,0.163827909846534,0.176040965442866,1
2014,GBR,0.593876336904494,0.406123663095506,0.482032694835718,0.19576488375848,0.210358779337026,1
2014,GRC,0.326577711178832,0.673422288821168,0.482032694835718,0.324611560642904,0.348810728178263,1
2014,HKG,0.653836286634291,0.346163713365709,0.482032694835718,0.166862227608012,0.179301485757697,1
2014,HRV,0.569624010498027,0.430375989501973,0.482032694835718,0.207455298012224,0.222920691489748,1
2014,HUN,0.496060458477334,0.503939541522666,0.482032694835718,0.242915335234447,0.261024206288219,1
2014,IDN,0.470489900513797,0.529510099486203,0.482032694835718,0.255241180198063,0.27426891928814,1
2014,IND,0.779285679411703,0.220714320588297,0.482032694835718,0.106391518742011,0.114322801846286,1
2014,IRL,0.462368471501037,0.537631528498963,0.482032694835718,0.259155974511001,0.278475553987962,1
2014,ISL,0.0810969068067755,0.918903093193224,0.482032694835718,0.442941334304806,0.475961758888418,1
2014,ISR,0.807113792039716,0.192886207960284,0.482032694835718,0.0929774586197384,0.0999087493405457,1
2014,ITA,0.671625167039449,0.328374832960551,0.482032694835718,0.158287405648203,0.170087427312348,1
2014,JOR,0.479075250069216,0.520924749930784,0.482032694835718,0.251102761015758,0.269821988915026,1
2014,JPN,0.776189495007149,0.223810504992851,0.482032694835718,0.107883980854247,0.115926524138604,1
2014,KAZ,0.341324821822244,0.658675178177756,0.482032694835718,0.31750297115842,0.341172207019336,1
2014,KHM,0.980510753643794,0.019489246356206,0.482032694835718,0.00939445394139918,0.0100947924148069,1
2014,KOR,0.730498726019301,0.269501273980699,0.482032694835718,0.129908425358575,0.139592848622123,1
2014,LAO,0.373653644866124,0.626346355133876,0.482032694835718,0.301919421465712,0.324426933668164,1
2014,LTU,0.915843590450645,0.0841564095493553,0.482032694835718,0.0405661408827741,0.0435902686665813,1
2014,LUX,0.502355719615133,0.497644280384867,0.482032694835718,0.239880813543499,0.257763466841368,1
2014,LVA,0.439587890736426,0.560412109263574,0.482032694835718,0.270136959246889,0.290275150016685,1
2014,MAR,0.66254905868806,0.33745094131194,0.482032694835718,0.162662386615444,0.174788554696496,1
2014,MEX,0.48022235832998,0.51977764167002,0.482032694835718,0.250549817329554,0.269227824340466,1
2014,MLT,0.560204742376122,0.439795257623878,0.482032694835718,0.211995693208407,0.227799564415472,1
2014,MMR,0.582996949919241,0.417003050080759,0.482032694835718,0.201009103985142,0.215993946095617,1
2014,MYS,0.629006995007993,0.370993004992007,0.482032694835718,0.178830757961498,0.192162247030509,1
2014,NGA,0.350428147666232,0.649571852333768,0.482032694835718,0.313114870469875,0.336456981863893,1
